week,month,staff_name,role,service,present
1,1,Allison Hill,doctor,emergency,True
2,1,Allison Hill,doctor,emergency,True
3,1,Allison Hill,doctor,emergency,False
4,1,Allison Hill,doctor,emergency,True
5,2,Allison Hill,doctor,emergency,True
6,2,Allison Hill,doctor,emergency,False
7,2,Allison Hill,doctor,emergency,True
8,2,Allison Hill,doctor,emergency,True
9,3,Allison Hill,doctor,emergency,False
10,3,Allison Hill,doctor,emergency,True
11,3,Allison Hill,doctor,emergency,True
12,3,Allison Hill,doctor,emergency,False
13,4,Allison Hill,doctor,emergency,True
14,4,Allison Hill,doctor,emergency,True
15,4,Allison Hill,doctor,emergency,False
16,4,Allison Hill,doctor,emergency,True
17,4,Allison Hill,doctor,emergency,True
18,5,Allison Hill,doctor,emergency,False
19,5,Allison Hill,doctor,emergency,True
20,5,Allison Hill,doctor,emergency,True
21,5,Allison Hill,doctor,emergency,False
22,6,Allison Hill,doctor,emergency,False
23,6,Allison Hill,doctor,emergency,True
24,6,Allison Hill,doctor,emergency,False
25,6,Allison Hill,doctor,emergency,False
26,7,Allison Hill,doctor,emergency,True
27,7,Allison Hill,doctor,emergency,False
28,7,Allison Hill,doctor,emergency,True
29,7,Allison Hill,doctor,emergency,True
30,7,Allison Hill,doctor,emergency,False
31,8,Allison Hill,doctor,emergency,False
32,8,Allison Hill,doctor,emergency,True
33,8,Allison Hill,doctor,emergency,False
34,8,Allison Hill,doctor,emergency,False
35,9,Allison Hill,doctor,emergency,True
36,9,Allison Hill,doctor,emergency,False
37,9,Allison Hill,doctor,emergency,False
38,9,Allison Hill,doctor,emergency,True
39,10,Allison Hill,doctor,emergency,False
40,10,Allison Hill,doctor,emergency,True
41,10,Allison Hill,doctor,emergency,True
42,10,Allison Hill,doctor,emergency,False
43,10,Allison Hill,doctor,emergency,True
44,11,Allison Hill,doctor,emergency,True
45,11,Allison Hill,doctor,emergency,False
46,11,Allison Hill,doctor,emergency,True
47,11,Allison Hill,doctor,emergency,True
48,12,Allison Hill,doctor,emergency,False
49,12,Allison Hill,doctor,emergency,True
