week,month,staff_id,staff_name,role,service,present
1,1,STF-b77cdc60,Allison Hill,doctor,emergency,True
2,1,STF-b77cdc60,Allison Hill,doctor,emergency,True
3,1,STF-b77cdc60,Allison Hill,doctor,emergency,False
4,1,STF-b77cdc60,Allison Hill,doctor,emergency,True
5,2,STF-b77cdc60,Allison Hill,doctor,emergency,True
6,2,STF-b77cdc60,Allison Hill,doctor,emergency,False
7,2,STF-b77cdc60,Allison Hill,doctor,emergency,True
8,2,STF-b77cdc60,Allison Hill,doctor,emergency,True
9,3,STF-b77cdc60,Allison Hill,doctor,emergency,False
10,3,STF-b77cdc60,Allison Hill,doctor,emergency,True
11,3,STF-b77cdc60,Allison Hill,doctor,emergency,True
12,3,STF-b77cdc60,Allison Hill,doctor,emergency,False
13,4,STF-b77cdc60,Allison Hill,doctor,emergency,True
14,4,STF-b77cdc60,Allison Hill,doctor,emergency,True
15,4,STF-b77cdc60,Allison Hill,doctor,emergency,False
16,4,STF-b77cdc60,Allison Hill,doctor,emergency,True
17,4,STF-b77cdc60,Allison Hill,doctor,emergency,True
18,5,STF-b77cdc60,Allison Hill,doctor,emergency,False
19,5,STF-b77cdc60,Allison Hill,doctor,emergency,True
20,5,STF-b77cdc60,Allison Hill,doctor,emergency,True
21,5,STF-b77cdc60,Allison Hill,doctor,emergency,False
22,6,STF-b77cdc60,Allison Hill,doctor,emergency,False
23,6,STF-b77cdc60,Allison Hill,doctor,emergency,True
24,6,STF-b77cdc60,Allison Hill,doctor,emergency,False
25,6,STF-b77cdc60,Allison Hill,doctor,emergency,False
26,7,STF-b77cdc60,Allison Hill,doctor,emergency,True
27,7,STF-b77cdc60,Allison Hill,doctor,emergency,False
28,7,STF-b77cdc60,Allison Hill,doctor,emergency,True
29,7,STF-b77cdc60,Allison Hill,doctor,emergency,True
30,7,STF-b77cdc60,Allison Hill,doctor,emergency,False
31,8,STF-b77cdc60,Allison Hill,doctor,emergency,False
32,8,STF-b77cdc60,Allison Hill,doctor,emergency,True
33,8,STF-b77cdc60,Allison Hill,doctor,emergency,False
34,8,STF-b77cdc60,Allison Hill,doctor,emergency,False
35,9,STF-b77cdc60,Allison Hill,doctor,emergency,True
36,9,STF-b77cdc60,Allison Hill,doctor,emergency,False
37,9,STF-b77cdc60,Allison Hill,doctor,emergency,False
38,9,STF-b77cdc60,Allison Hill,doctor,emergency,True
39,10,STF-b77cdc60,Allison Hill,doctor,emergency,False
40,10,STF-b77cdc60,Allison Hill,doctor,emergency,True
41,10,STF-b77cdc60,Allison Hill,doctor,emergency,True
42,10,STF-b77cdc60,Allison Hill,doctor,emergency,False
43,10,STF-b77cdc60,Allison Hill,doctor,emergency,True
44,11,STF-b77cdc60,Allison Hill,doctor,emergency,True
45,11,STF-b77cdc60,Allison Hill,doctor,emergency,False
46,11,STF-b77cdc60,Allison Hill,doctor,emergency,True
47,11,STF-b77cdc60,Allison Hill,doctor,emergency,True
48,12,STF-b77cdc60,Allison Hill,doctor,emergency,False
49,12,STF-b77cdc60,Allison Hill,doctor,emergency,True
50,12,STF-b77cdc60,Allison Hill,doctor,emergency,True
51,12,STF-b77cdc60,Allison Hill,doctor,emergency,False
52,13,STF-b77cdc60,Allison Hill,doctor,emergency,True
1,1,STF-5e560b99,Noah Rhodes,doctor,emergency,True
2,1,STF-5e560b99,Noah Rhodes,doctor,emergency,True
3,1,STF-5e560b99,Noah Rhodes,doctor,emergency,False
4,1,STF-5e560b99,Noah Rhodes,doctor,emergency,True
5,2,STF-5e560b99,Noah Rhodes,doctor,emergency,True
6,2,STF-5e560b99,Noah Rhodes,doctor,emergency,False
7,2,STF-5e560b99,Noah Rhodes,doctor,emergency,True
8,2,STF-5e560b99,Noah Rhodes,doctor,emergency,True
9,3,STF-5e560b99,Noah Rhodes,doctor,emergency,False
10,3,STF-5e560b99,Noah Rhodes,doctor,emergency,True
11,3,STF-5e560b99,Noah Rhodes,doctor,emergency,True
12,3,STF-5e560b99,Noah Rhodes,doctor,emergency,False
13,4,STF-5e560b99,Noah Rhodes,doctor,emergency,False
14,4,STF-5e560b99,Noah Rhodes,doctor,emergency,False
15,4,STF-5e560b99,Noah Rhodes,doctor,emergency,False
16,4,STF-5e560b99,Noah Rhodes,doctor,emergency,False
17,4,STF-5e560b99,Noah Rhodes,doctor,emergency,True
18,5,STF-5e560b99,Noah Rhodes,doctor,emergency,False
19,5,STF-5e560b99,Noah Rhodes,doctor,emergency,True
20,5,STF-5e560b99,Noah Rhodes,doctor,emergency,True
21,5,STF-5e560b99,Noah Rhodes,doctor,emergency,False
22,6,STF-5e560b99,Noah Rhodes,doctor,emergency,True
23,6,STF-5e560b99,Noah Rhodes,doctor,emergency,False
24,6,STF-5e560b99,Noah Rhodes,doctor,emergency,False
25,6,STF-5e560b99,Noah Rhodes,doctor,emergency,True
26,7,STF-5e560b99,Noah Rhodes,doctor,emergency,True
27,7,STF-5e560b99,Noah Rhodes,doctor,emergency,False
28,7,STF-5e560b99,Noah Rhodes,doctor,emergency,True
29,7,STF-5e560b99,Noah Rhodes,doctor,emergency,False
30,7,STF-5e560b99,Noah Rhodes,doctor,emergency,False
31,8,STF-5e560b99,Noah Rhodes,doctor,emergency,True
32,8,STF-5e560b99,Noah Rhodes,doctor,emergency,True
33,8,STF-5e560b99,Noah Rhodes,doctor,emergency,False
34,8,STF-5e560b99,Noah Rhodes,doctor,emergency,False
35,9,STF-5e560b99,Noah Rhodes,doctor,emergency,True
36,9,STF-5e560b99,Noah Rhodes,doctor,emergency,False
37,9,STF-5e560b99,Noah Rhodes,doctor,emergency,True
38,9,STF-5e560b99,Noah Rhodes,doctor,emergency,True
39,10,STF-5e560b99,Noah Rhodes,doctor,emergency,False
40,10,STF-5e560b99,Noah Rhodes,doctor,emergency,True
41,10,STF-5e560b99,Noah Rhodes,doctor,emergency,True
42,10,STF-5e560b99,Noah Rhodes,doctor,emergency,False
43,10,STF-5e560b99,Noah Rhodes,doctor,emergency,True
44,11,STF-5e560b99,Noah Rhodes,doctor,emergency,True
45,11,STF-5e560b99,Noah Rhodes,doctor,emergency,False
46,11,STF-5e560b99,Noah Rhodes,doctor,emergency,True
47,11,STF-5e560b99,Noah Rhodes,doctor,emergency,False
48,12,STF-5e560b99,Noah Rhodes,doctor,emergency,False
49,12,STF-5e560b99,Noah Rhodes,doctor,emergency,True
50,12,STF-5e560b99,Noah Rhodes,doctor,emergency,True
51,12,STF-5e560b99,Noah Rhodes,doctor,emergency,False
52,13,STF-5e560b99,Noah Rhodes,doctor,emergency,True
